,actors,number_of_movies,average_revenue,average_revenue (shifted)
922,Penny Pearl,1,68700000.0,68700000
923,Kevin Scott,3,282016032.0,846048096
924,John Swindells,1,68700000.0,68700000
925,John Clifford,1,68700000.0,68700000
926,Madeleine Stowe,8,72510037.63,580080301
927,Brad Pitt,51,144608097.1,7375012952
928,Christopher Plummer,29,117320654.8,3402298990
929,Jon Seda,6,93430670.83,560584025
930,Frank Gorshin,1,168840000.0,168840000
931,Joseph Melito,1,168840000.0,168840000
932,Christopher Meloni,13,112331569.1,1460310398
933,Joey Perillo,3,140022040.3,420066121
934,LisaGay Hamilton,4,91631224.0,366524896
935,Matt Ross,7,90004527.29,630031691
936,Annie Golden,4,52718986.75,210875947
937,Michael Chance,1,168840000.0,168840000
938,Vernon Campbell,3,102275533.0,306826599
939,H. Michael Walls,1,168840000.0,168840000
940,Bob Adrian,2,244505004.0,489010008
941,Simon Jones,2,154823773.5,309647547
942,Carol Florence,2,102469191.0,204938382
943,Bill Raymond,5,125754105.4,628770527
944,Ernest Abuba,2,85697238.0,171394476
945,Irma St. Paule,1,168840000.0,168840000
946,Rozwill Young,1,168840000.0,168840000
947,Nell Johnson,1,168840000.0,168840000
948,Frederick Strother,1,168840000.0,168840000
949,Charles Techman,4,128092489.3,512369957
950,Rick Warner,2,114683936.5,229367873
951,Anthony 'Chip' Brienza,2,88330344.0,176660688
952,Bruce Kirkpatrick,2,101420000.0,202840000
953,Wilfred Williams,1,168840000.0,168840000
954,Joilet Harris,1,168840000.0,168840000
955,Drucie McDaniel,1,168840000.0,168840000
956,John Blaisse,1,168840000.0,168840000
957,Louis Lippa,1,168840000.0,168840000
958,Stan Kang,1,168840000.0,168840000
959,Pat Dias,1,168840000.0,168840000
960,Felix Pire,1,168840000.0,168840000
961,Karl Warren,1,168840000.0,168840000
962,Joseph McKenna,3,184366985.3,553100956
963,Ray Huffman,1,168840000.0,168840000
964,Charley Scalies,1,168840000.0,168840000
965,Robert O'Neill,4,121624572.5,486498290
966,Paul Meshejian,1,168840000.0,168840000
967,Kevin Thigpen,2,86595387.0,173190774
968,Harry O'Toole,3,102851243.0,308553729
969,Jann Ellis,1,168840000.0,168840000
970,Michael Ryan Segal,2,95880949.0,191761898
971,Korchenko,1,168840000.0,168840000
972,Chuck Jeffreys,1,168840000.0,168840000
973,Barry Price,1,168840000.0,168840000
974,John Panzarella,1,168840000.0,168840000
975,Janet Zappala,1,168840000.0,168840000
976,Lisa Talerico,2,187759220.0,375518440
977,Tiffany Baldwin,1,168840000.0,168840000
978,C.J. Byrnes,2,177861781.5,355723563
979,Tom Detrik,2,187759220.0,375518440
980,Joe Gerety,1,168840000.0,168840000
981,Renee Spei,1,168840000.0,168840000
982,Bonnie Loev,1,168840000.0,168840000
983,Raymond Mamrak,2,187289357.0,374578714
984,Sal Mazzotta,2,96201358.0,192402716
985,Allelon Ruggiero,3,136150847.3,408452542
986,Thang,1,168840000.0,168840000
987,Leonor Watling,3,32041966.33,96125899
988,Rosario Flores,1,51001550.0,51001550
989,Javier Cmara,6,22671556.5,136029339
990,Daro Grandinetti,1,51001550.0,51001550
991,Mariola Fuentes,1,51001550.0,51001550
992,Geraldine Chaplin,9,52111101.89,468999917
993,Pina Bausch,2,32813188.0,65626376
994,Malou Airaudo,2,32813188.0,65626376
995,Caetano Veloso,1,51001550.0,51001550
996,Roberto Alvarez,1,51001550.0,51001550
997,Elena Anaya,7,176267584.0,1233873088
998,Lola Dueas,4,46710824.25,186843297
999,Adolfo Fernndez,1,51001550.0,51001550
1000,Ana Fernndez,1,51001550.0,51001550
1001,Chus Lampreave,4,38858904.5,155435618
1002,Helio Pedregal,1,51001550.0,51001550
1003,Paz Vega,6,151028415.5,906170493
1004,Fele Martnez,3,30545588.67,91636766
1005,Eminem,4,74757736.25,299030945
1006,Mekhi Phifer,10,120068950.7,1200689507
