,actors,number_of_movies,average_revenue,average_revenue (shifted)
38922,Akhil Mishra,1,70000000.0,70000000
38923,Atul Tiwari,1,70000000.0,70000000
38924,Rakesh Sharma,1,70000000.0,70000000
38925,Pitobash,2,54153813.5,108307627
38926,Malcolm Smith,1,8862354.0,8862354
38927,Christine McCorkindale,1,8862354.0,8862354
38928,Elizabeth Decker,1,16702864.0,16702864
38929,Grant Hayden Scott,1,16702864.0,16702864
38930,Shane Avery Scott,1,16702864.0,16702864
38931,Todd M. Hofacker,1,16702864.0,16702864
38932,Claudia DiFolco,1,16702864.0,16702864
38933,Patrick Stinson,1,16702864.0,16702864
38934,Jerry Penacoli,1,16702864.0,16702864
38935,Maria Quiban,1,16702864.0,16702864
38936,Kane Ritchotte,1,16702864.0,16702864
38937,Franklin Dennis Jones,2,17178888.0,34357776
38938,Linus Merwin,1,16702864.0,16702864
38939,Kristen Kerr,1,16702864.0,16702864
38940,Gianina Sbardellati,1,16702864.0,16702864
38941,Chelsea Bond,1,16702864.0,16702864
38942,Daniel Dotterer,1,16702864.0,16702864
38943,Meagen Fay,4,130406557.5,521626230
38944,Harman Baweja,1,5000000.0,5000000
38945,Kurush Deboo,1,5000000.0,5000000
38946,Lora Martinez-Cunningham,6,102000036.0,612000216
38947,Mike McCarty,2,78569418.0,157138836
38948,Thom Williams,1,157107755.0,157107755
38949,Scott Wilder,1,157107755.0,157107755
38950,Heidi Pascoe,1,157107755.0,157107755
38951,Spencer Sano,1,157107755.0,157107755
38952,Justin Tade,2,153201678.0,306403356
38953,Mike Seal,2,433876160.5,867752321
38954,Edward A. Duran,1,157107755.0,157107755
38955,David Wald,1,157107755.0,157107755
38956,Jermaine Washington,1,157107755.0,157107755
38957,Clay Donahue Fontenot,3,367262652.7,1101787958
38958,Al Goto,1,157107755.0,157107755
38959,Brad Martin,1,157107755.0,157107755
38960,Luis Bordonada,1,157107755.0,157107755
38961,Darrin Prescott,1,157107755.0,157107755
38962,Laurence Chavez,2,87308136.5,174616273
38963,Brian Neal Lucero,1,157107755.0,157107755
38964,Karin Silvestri,2,167482253.0,334964506
38965,Serinda Swan,2,313279986.0,626559972
38966,Elizabeth Mathis,2,283934114.5,567868229
38967,Amy Esterle,1,400062763.0,400062763
38968,Owen Best,2,237881630.5,475763261
38969,Daft Punk,1,400062763.0,400062763
38970,Conrad Coates,3,390164919.7,1170494759
38971,Kis Yurij,1,400062763.0,400062763
38972,Aaron Toney,4,420258099.3,1681032397
38973,Darren Dolynski,4,135700063.5,542800254
38974,Tom Wopat,2,217953619.0,435907238
38975,Julia Jones,5,486994481.6,2434972408
38976,Brent Hinds,1,10539000.0,10539000
38977,Natacha Itzel,1,10539000.0,10539000
38978,Lisa Rotondi,1,10539000.0,10539000
38979,Michael Arnona,1,10539000.0,10539000
38980,Veronica Russell,2,5428000.0,10856000
38981,Danny Cosmo,3,3625649.0,10876947
38982,Sean M. Sellers,1,10539000.0,10539000
38983,Alexander Asefa,3,34722521.33,104167564
38984,Joseph Billingiere,2,147339050.0,294678100
38985,Patricia Rae,2,28115294.0,56230588
38986,Kia Goodwin,1,34411240.0,34411240
38987,Pamela Isaacs,1,34411240.0,34411240
38988,Tom Cappadona,1,34411240.0,34411240
38989,Ken Triwush,1,34411240.0,34411240
38990,Amy Mapother,1,34411240.0,34411240
38991,Ben Epps,1,34411240.0,34411240
38992,Dan Fountain,1,34411240.0,34411240
38993,Max Rosmarin,1,34411240.0,34411240
38994,Chris Fischer,1,34411240.0,34411240
38995,Christopher Rivera,1,34411240.0,34411240
38996,Kevin Payne,1,34411240.0,34411240
38997,Monroe Mann,1,34411240.0,34411240
38998,Jeremy Brena,1,34411240.0,34411240
38999,Joseph M. Caracciolo Jr.,1,34411240.0,34411240
39000,Israel Chaplin,1,34411240.0,34411240
39001,Trish McGettrick,1,34411240.0,34411240
39002,Elvis Nolasco,1,13071518.0,13071518
39003,Lawrence B. Adisa,1,13071518.0,13071518
39004,Hassan Johnson,4,15465146.5,61860586
39005,Shawn McLean,1,13071518.0,13071518
39006,Bray Poor,1,13071518.0,13071518
39007,Craig McNulty,1,13071518.0,13071518
39008,Donald Stephenson,1,13071518.0,13071518
39009,John Fletcher,1,13071518.0,13071518
39010,David Evanson,1,13071518.0,13071518
39011,Isaac Flower,1,13071518.0,13071518
39012,Calvin Hart,1,13071518.0,13071518
39013,Richard Ziman,1,13071518.0,13071518
39014,David Batiste,1,13071518.0,13071518
39015,Mar'qus Sample,1,13071518.0,13071518
39016,Mar'rece Sample,1,13071518.0,13071518
39017,Ron Brice,1,13071518.0,13071518
39018,Anthony Nocerino,1,13071518.0,13071518
39019,Brian Konowal,1,13071518.0,13071518
39020,Michael McGruther,1,13071518.0,13071518
39021,Carlo Vogel,1,13071518.0,13071518
39022,Harvey Williams,1,13071518.0,13071518
39023,Larry Mullane,1,13071518.0,13071518
39024,Patrick Ferraro,1,13071518.0,13071518
39025,L.B. Williams,1,13071518.0,13071518
39026,Ronda Fowler,1,13071518.0,13071518
39027,Hal Sherman,1,13071518.0,13071518
39028,Marc Webster,1,13071518.0,13071518
39029,James Saxenmeyer,1,13071518.0,13071518
39030,Paul DuBois,1,13071518.0,13071518
39031,Michael Marchetta,1,13071518.0,13071518
39032,Joanna Gardner,1,13071518.0,13071518
39033,Mark Howard,1,13071518.0,13071518
39034,Michael Shepherd,1,13071518.0,13071518
39035,Gerald King,1,13071518.0,13071518
39036,Ronta Davis,1,13071518.0,13071518
39037,Lord Kayson,1,13071518.0,13071518
39038,Orran Farmer,1,13071518.0,13071518
39039,Wayne Muhammed,1,13071518.0,13071518
39040,Martin Jaffe,1,13071518.0,13071518
39041,Freddie Velez,1,13071518.0,13071518
39042,Alan Doyle,2,170734885.5,341469771
39043,Jonathan Zacca,1,310669540.0,310669540
39044,Ciaran Flynn,1,310669540.0,310669540
39045,Ruby Bentall,1,310669540.0,310669540
39046,Jessica Raine,2,219200138.0,438400276
39047,John Nicholas,1,310669540.0,310669540
39048,Roy Holder,1,310669540.0,310669540
39049,Denise Gough,1,310669540.0,310669540
39050,Arthur Darvill,1,310669540.0,310669540
39051,Amole Gupte,1,18130000.0,18130000
39052,Deb Mukherjee,1,18130000.0,18130000
39053,Caroline Rhea,1,12372410.0,12372410
39054,Tait Smith,1,12372410.0,12372410
39055,Ahmet Zappa,1,12372410.0,12372410
39056,A. David Burleigh,1,12372410.0,12372410
39057,Steve Borden,1,12372410.0,12372410
39058,Scott Charles Bigelow,1,12372410.0,12372410
39059,Booker Huffman,1,12372410.0,12372410
39060,Sid Eudy,1,12372410.0,12372410
39061,Eduardo Anbal Gonzlez Hernndez,1,12372410.0,12372410
39062,Curt Hennig,1,12372410.0,12372410
39063,Glenn Gilbertti,1,12372410.0,12372410
39064,Peter Gruner,1,12372410.0,12372410
39065,Carlos Santiago Espada Moises,1,12372410.0,12372410
39066,Christopher Klucsarits,1,12372410.0,12372410
39067,Oscar Gutierrez Rubio,1,12372410.0,12372410
39068,Perry Satullo,1,12372410.0,12372410
39069,Michael Laauli Hayner,1,12372410.0,12372410
39070,Mark Hildreth,1,12372410.0,12372410
39071,Stephanie Bellars,1,12372410.0,12372410
39072,Gregory Shane Helms,1,12372410.0,12372410
39073,Gene Okerlund,2,14233030.5,28466061
39074,Tony Schiavone,1,12372410.0,12372410
39075,Mike Tenay,1,12372410.0,12372410
39076,Billy Silverman,1,12372410.0,12372410
39077,Chae An,1,12372410.0,12372410
39078,Teri Byrne,1,12372410.0,12372410
39079,Melissa Bellin,2,12372410.0,24744820
39080,Sharmell Sullivan-Huffman,1,12372410.0,12372410
39081,Vanessa Sullivan,1,12372410.0,12372410
39082,Robert Sedgwick,1,16324573.0,16324573
39083,Ashton Wise,1,16324573.0,16324573
39084,Michael Deak,2,8189390.0,16378780
39085,Nicole Leach,1,16324573.0,16324573
39086,Donna Davidge,1,16324573.0,16324573
39087,Choy Chang Wing,1,2420917.0,2420917
39088,William Wise,1,2420917.0,2420917
39089,Richard Morgan,1,2420917.0,2420917
39090,Elan Oberon,1,2420917.0,2420917
39091,Michael Nissman,1,2420917.0,2420917
39092,Sergei Makovetsky,4,9523592.5,38094370
39093,Nikita Mikhalkov,2,5076978.0,10153956
39094,Valentin Gaft,1,7537453.0,7537453
39095,Aleksey Petrenko,1,7537453.0,7537453
39096,Yuriy Stoyanov,2,8625476.5,17250953
39097,Sergey Gazarov,3,13143733.33,39431200
39098,Mikhail Efremov,8,13796017.75,110368142
39099,Aleksey Gorbunov,4,7566156.0,30264624
39100,Sergei Artsybashev,1,7537453.0,7537453
39101,Roman Madyanov,3,26912843.33,80738530
39102,Aleksandr Adabashyan,1,7537453.0,7537453
39103,Apti Magamaev,1,7537453.0,7537453
39104,Abdi Magamayev,1,7537453.0,7537453
39105,Natalya Surkova,1,7537453.0,7537453
39106,Konstantin Glushkov,1,7537453.0,7537453
39107,Vladimir Nefyodov,1,7537453.0,7537453
39108,Vyacheslav Gilinov,1,7537453.0,7537453
39109,Lyubov Rudneva,1,7537453.0,7537453
39110,Olga Khokhlova,1,7537453.0,7537453
39111,Igor Vernik,3,6268111.0,18804333
39112,Vladimir Komarov,1,7537453.0,7537453
39113,Lasha Marykhuba,1,7537453.0,7537453
39114,Ferit Myazitov,1,7537453.0,7537453
39115,Abdulbasyr Gitinov,1,7537453.0,7537453
39116,Mikael Bazorkin,1,7537453.0,7537453
39117,Mesedo Salimova,1,7537453.0,7537453
39118,Soslan Sanakoyev,1,7537453.0,7537453
39119,Alan Tsopanov,1,7537453.0,7537453
39120,Gennadi Ternovsky,1,7537453.0,7537453
39121,Andrei Sukharev,1,7537453.0,7537453
39122,Norman Browning,1,23144499.0,23144499
39123,Nicola Cavendish,1,23144499.0,23144499
39124,Sunil Shetty,2,8050000.0,16100000
39125,Arbaaz Khan,2,11500000.0,23000000
39126,Tusshar Kapoor,1,12000000.0,12000000
39127,Rohit Roy,1,12000000.0,12000000
39128,Amrita Singh,1,12000000.0,12000000
39129,Shabbir Ahluwalia,1,12000000.0,12000000
39130,Dia Mirza,1,12000000.0,12000000
39131,Rakhi Sawant,1,12000000.0,12000000
39132,Jack Carter,1,8434146.0,8434146
39133,Gennifer Flowers,1,8434146.0,8434146
39134,Rod Stewart,1,8434146.0,8434146
39135,Sean Baca,1,4651977.0,4651977
39136,Daniel Bieber,1,4651977.0,4651977
39137,John Mazzello,1,4651977.0,4651977
39138,Lennard Camarillo,1,4651977.0,4651977
39139,Luis Fernando Pea,1,107559.0,107559
39140,Kodi Smit-McPhee,5,282699934.0,1413499670
39141,Agnes Herrmann,1,27635305.0,27635305
39142,Kirk Brown,1,27635305.0,27635305
39143,Jack Erdie,4,68014842.5,272059370
39144,David August Lindauer,1,27635305.0,27635305
39145,Gina Preciado,1,27635305.0,27635305
39146,Brandt Wille,1,2600000.0,2600000
39147,Joel Michaely,1,2600000.0,2600000
39148,Douglas Spain,1,2600000.0,2600000
39149,Katrina Phillips,1,2600000.0,2600000
39150,Kyle Thatcher,1,2600000.0,2600000
39151,Rachelle Carson,2,10872866.0,21745732
39152,JoBe Cerny,1,2025238.0,2025238
39153,Yasen Peyankov,2,2153411.5,4306823
39154,Teri Cotruzzola,1,2025238.0,2025238
39155,Preston Maybank,1,2025238.0,2025238
39156,Sally Kao,1,2025238.0,2025238
39157,Quincy Wong,1,2025238.0,2025238
39158,George Lugg,1,2025238.0,2025238
39159,Tyler Rostenkowski,1,2025238.0,2025238
39160,Karol Kent,1,2025238.0,2025238
39161,Mary Ann Childers,1,2025238.0,2025238
39162,James Chisem,1,2025238.0,2025238
39163,Eric Lane,1,2025238.0,2025238
39164,Roy Hytower,1,2025238.0,2025238
39165,Kwame Amoaku,2,21123983.5,42247967
39166,Mindy Bell,1,2025238.0,2025238
39167,Ed Cray,1,2025238.0,2025238
39168,Christopher Glasgow,1,2025238.0,2025238
39169,Marcello Robinson,1,2025238.0,2025238
39170,Aubrey Plaza,9,125062193.3,1125559740
39171,Nicole Parker,1,61458982.0,61458982
39172,Nydia McFadden,1,61458982.0,61458982
39173,Dave Attell,2,101127387.5,202254775
39174,Rod Man,1,61458982.0,61458982
39175,Monty Hoffman,1,61458982.0,61458982
39176,Budd Friedman,1,61458982.0,61458982
39177,Carol Leifer,1,61458982.0,61458982
39178,Mark Schiff,1,61458982.0,61458982
39179,James Gadson,1,61458982.0,61458982
39180,Orny Adams,1,61458982.0,61458982
39181,Al Lubel,1,61458982.0,61458982
39182,Luis Conte,1,61458982.0,61458982
39183,Andrea Zonn,1,61458982.0,61458982
39184,Jimmy Johnson,1,61458982.0,61458982
39185,Bryan Batt,3,83037544.33,249112633
39186,Mike O'Connell,1,61458982.0,61458982
39187,Phillip Andre Botello,1,61458982.0,61458982
39188,Arshad Aslam,1,61458982.0,61458982
39189,Bo Burnham,2,53257876.5,106515753
39190,Kenny Copeland Jr.,1,61458982.0,61458982
39191,Calvin Sykes,1,61458982.0,61458982
39192,Ca'Shawn Sims,1,61458982.0,61458982
39193,Mandi Kreisher,1,61458982.0,61458982
39194,Tonita Castro,3,30834766.33,92504299
39195,Lucas Dick,1,61458982.0,61458982
39196,Elaine Kao,2,174921252.5,349842505
39197,King Kedar,1,61458982.0,61458982
39198,Tanya Acker,1,61458982.0,61458982
39199,Jarrett Grode,1,61458982.0,61458982
39200,Qiana Chase,1,61458982.0,61458982
39201,John Hartmann,1,61458982.0,61458982
39202,Dave Rath,1,61458982.0,61458982
39203,Dan Harmon,1,61458982.0,61458982
39204,Kyle Kinane,2,164942808.0,329885616
39205,Mark Cohen,1,61458982.0,61458982
39206,Joanie Marx,1,61458982.0,61458982
39207,Adam J. Bernstein,1,61458982.0,61458982
39208,Eleanor Zee,1,61458982.0,61458982
39209,Sammy Jack,1,61458982.0,61458982
39210,Carter Jenkins,2,137183355.0,274366710
39211,Austin Butler,1,57881056.0,57881056
39212,Henri Young,1,57881056.0,57881056
39213,Regan Young,1,57881056.0,57881056
39214,Malese Jow,2,141400685.5,282801371
39215,Maggie VandenBerghe,1,57881056.0,57881056
39216,Michael B. Jordan,7,86917668.57,608423680
39217,Bryan Hearne,1,40222729.0,40222729
39218,Julian Griffith,1,40222729.0,40222729
39219,DeWayne Warren,1,40222729.0,40222729
39220,Kristopher Lofton,1,40222729.0,40222729
39221,Greg Sandquist,1,40222729.0,40222729
39222,Michael B. Chait,1,40222729.0,40222729
39223,Stephen Cinabro,1,40222729.0,40222729
39224,Noah Matthews,1,205298907.0,205298907
39225,John Sloman,1,205298907.0,205298907
39226,Tess Parker,1,205298907.0,205298907
39227,Arielle Vandenberg,2,145270201.5,290540403
39228,Rocco DiSpirito,1,205298907.0,205298907
39229,Blake Robbins,3,130055709.7,390167129
39230,J. Claude Deering,2,134335832.0,268671664
39231,Alexis Krause,2,136322960.0,272645920
39232,Jade Marx-Berti,1,205298907.0,205298907
39233,Marc D. Wilson,1,205298907.0,205298907
39234,Jeff Newburg,1,205298907.0,205298907
39235,Ryan Surratt,1,205298907.0,205298907
39236,Yolanda Pecoraro,1,205298907.0,205298907
39237,Brooke Stone,1,205298907.0,205298907
39238,Kevin Bangos,1,205298907.0,205298907
39239,April Betts,1,205298907.0,205298907
39240,Skyler Caleb,1,205298907.0,205298907
39241,Adam Clark,1,205298907.0,205298907
39242,Sandra Daubert,1,205298907.0,205298907
39243,Kim Donovan,1,205298907.0,205298907
39244,Christina Gabrielle,2,210748199.5,421496399
39245,Steven Galarce,1,205298907.0,205298907
39246,Jerald Garner,1,205298907.0,205298907
39247,Lejla Hadzimuratovic,1,205298907.0,205298907
39248,Stephen Hansen,1,205298907.0,205298907
39249,James Howarth,1,205298907.0,205298907
39250,Alexandra Nicole Hulme,1,205298907.0,205298907
39251,Courtney Kocak,1,205298907.0,205298907
39252,Bruna Matsin,1,205298907.0,205298907
39253,Tina Mayer,1,205298907.0,205298907
39254,Bob Morrisey,1,205298907.0,205298907
39255,Barnett O'Hara,1,205298907.0,205298907
39256,Shanna Olson,1,205298907.0,205298907
39257,Sandra Plazinic,1,205298907.0,205298907
39258,Calo Rodriguez,1,205298907.0,205298907
39259,Ashton Shane,1,205298907.0,205298907
39260,Anthony Simone,1,205298907.0,205298907
39261,Rich Skidmore,1,205298907.0,205298907
39262,John Summers,1,205298907.0,205298907
39263,Tracy Weisert,3,211349294.3,634047883
39264,Tamara Witmer,1,205298907.0,205298907
39265,Carolina Zaballa,1,205298907.0,205298907
39266,Kay Kay Menon,3,3800000.0,11400000
39267,Rukhsar,2,62950000.0,125900000
39268,Priyanka Kothari,1,5900000.0,5900000
39269,Tanisha Mukherjee,1,5900000.0,5900000
39270,Deborra-Lee Furness,2,70064695.0,140129390
39271,Erik Thomson,1,56000.0,56000
39272,Sebastian Gregory,1,56000.0,56000
39273,Rebekah Rimington,1,56000.0,56000
39274,Manuel Aranguiz,1,209151.0,209151
39275,Hend Ayoub,1,167000.0,167000
39276,Brian Boland,4,298439304.5,1193757218
39277,Cyndi Lauper,1,1883811.0,1883811
39278,Hercules Vilchez,1,1883811.0,1883811
39279,Jerry Vichi,1,1883811.0,1883811
39280,Leo V. Finnie III,1,1883811.0,1883811
39281,Ray Stoddard,1,1883811.0,1883811
39282,Harvey J. Goldenberg,1,1883811.0,1883811
39283,Tom Henschel,1,1883811.0,1883811
39284,Susan Bugg,1,1883811.0,1883811
39285,Van Dyke Parks,1,1883811.0,1883811
39286,Joseph V. Perry,1,1883811.0,1883811
39287,Don Bexley,1,1883811.0,1883811
39288,Karen Akers,1,1883811.0,1883811
39289,Fernando Verdugo,1,1883811.0,1883811
39290,Elvira De Val,1,1883811.0,1883811
39291,Ronald Paul Ramirez,1,1883811.0,1883811
39292,Isabelle Fuhrman,3,325550023.3,976650070
39293,Aryana Engineer,2,140877753.0,281755506
39294,Jamie Young,1,41596251.0,41596251
39295,Lorry Ayers,1,41596251.0,41596251
39296,Mustafa Abdelkarim,1,41596251.0,41596251
39297,Landon Norris,1,41596251.0,41596251
39298,Julien Elia,1,41596251.0,41596251
39299,Leni Parker,1,41596251.0,41596251
39300,Gemma James Smith,1,41596251.0,41596251
39301,Pia Ajango,1,41596251.0,41596251
39302,Matthew Raudsepp,1,41596251.0,41596251
39303,Sugith Varughese,1,41596251.0,41596251
39304,Luis Olivia,1,41596251.0,41596251
39305,Ferelith Young,1,41596251.0,41596251
39306,Piyush Mishra,3,12253333.33,36760000
39307,Vikram Gokhale,2,8950000.0,17900000
39308,Deepak Shirke,1,13000000.0,13000000
39309,Mohan Joshi,1,13000000.0,13000000
39310,Raza Murad,1,13000000.0,13000000
39311,Tigmanshu Dhulia,2,8550000.0,17100000
39312,Aditya Srivastava,1,13000000.0,13000000
39313,Sabyasachi Chakrabarty,2,8908821.0,17817642
39314,Mita Vasisht,1,13000000.0,13000000
39315,Sheeba Chaddha,1,13000000.0,13000000
39316,Wasiq Khan,1,13000000.0,13000000
39317,Shaad Ali,1,13000000.0,13000000
39318,Hemant Mishra,1,13000000.0,13000000
39319,Bianca Rossini,1,20246790.0,20246790
39320,Anto Nolan,1,20246790.0,20246790
39321,Veronica Hamel,2,2631994.0,5263988
39322,Judy Canova,1,1500000.0,1500000
39323,Diane Lee Hart,1,1500000.0,1500000
39324,Patrick Wright,1,1500000.0,1500000
39325,John Alderman,1,1500000.0,1500000
39326,Allan Arkush,1,1500000.0,1500000
39327,Mary-Robin Redd,1,1500000.0,1500000
39328,Glynn Rubin,1,1500000.0,1500000
39329,John Herzfeld,1,1500000.0,1500000
39330,Deirdre Ardell,1,1500000.0,1500000
39331,Gretchen Ardell,1,1500000.0,1500000
39332,Gary Austin,1,1500000.0,1500000
39333,Wendy Bartel,1,1500000.0,1500000
39334,Linda Civitello,1,1500000.0,1500000
39335,Jim Connors,1,1500000.0,1500000
39336,Peter Cornberg,1,1500000.0,1500000
39337,Miller Drake,1,1500000.0,1500000
39338,Michael Finnell,1,1500000.0,1500000
39339,Samuel W. Gelfman,1,1500000.0,1500000
39340,Paul Glickler,1,1500000.0,1500000
39341,David N. Gottlieb,1,1500000.0,1500000
39342,Lea Gould,1,1500000.0,1500000
39343,Glenn Johnson,1,1500000.0,1500000
39344,Saul Krugman,1,1500000.0,1500000
39345,Joseph McBride,1,1500000.0,1500000
39346,Todd McCarthy,1,1500000.0,1500000
39347,Keith Michl,1,1500000.0,1500000
39348,George Wagner,1,1500000.0,1500000
39349,Joe Wong,1,1500000.0,1500000
39350,Ross Harris,1,2044892.0,2044892
39351,Roxana Zal,2,2242298.5,4484597
39352,Philip Anglim,1,2044892.0,2044892
39353,Miguel Fernandes,1,6892098.0,6892098
39354,Jacques Godin,1,6892098.0,6892098
39355,Chapelle Jaffe,1,6892098.0,6892098
39356,Lynne Griffin,2,22697219.0,45394438
39357,Konkona Sen Sharma,2,8000000.0,16000000
39358,Rahul Khanna,1,11000000.0,11000000
39359,Kainaz Motivala,1,11000000.0,11000000
39360,Namit Das,1,11000000.0,11000000
39361,Shikha Talsania,1,11000000.0,11000000
39362,Jazsmin Lewis,2,60050231.5,120100463
39363,Tiffany L. Addison,2,469165303.0,938330606
39364,Carl Wright,1,65070412.0,65070412
39365,Parvesh Cheena,1,65070412.0,65070412
39366,Mohammad Amir Naji,1,900000.0,900000
39367,Amir Farrokh Hashemian,1,900000.0,900000
39368,Bahare Seddiqi,1,900000.0,900000
39369,Liu Ye,1,10652498.0,10652498
39370,Gao Yuanyuan,1,10652498.0,10652498
39371,Hideo Nakaizumi,1,10652498.0,10652498
39372,John Paisley,1,10652498.0,10652498
39373,Beverly Peckous,1,10652498.0,10652498
39374,Elisabeth Moss,6,35311907.5,211871445
39375,Michael Reilly Burke,1,114000000.0,114000000
39376,Karley Scott Collins,1,114000000.0,114000000
39377,Haley Pullos,1,114000000.0,114000000
39378,Diane Ayala Goldner,2,76710733.5,153421467
39379,Alex Feldman,1,114000000.0,114000000
39380,Krystal Mayo,3,64957334.67,194872004
39381,Bill Stinchcomb,3,182988632.0,548965896
39382,Brett Forbes,1,114000000.0,114000000
39383,Jabari Thomas,2,114675213.0,229350426
39384,Hiro Koda,1,114000000.0,114000000
39385,Colvin Roberson,1,114000000.0,114000000
39386,John Snell,1,114000000.0,114000000
39387,Jon Dainty,1,114000000.0,114000000
39388,William Morse,2,114078115.0,228156230
39389,David Pitt,2,57483500.0,114967000
39390,Philip Poth,1,114000000.0,114000000
39391,Patrick Rizzotti,1,114000000.0,114000000
39392,Tom Gulager,1,114000000.0,114000000
39393,Lionel Richie,1,48093211.0,48093211
39394,Jackie Shroff,2,52500000.0,105000000
39395,Gulshan Grover,1,14000000.0,14000000
39396,Rajeev Mehta,1,14000000.0,14000000
39397,Avtar Gill,5,19280000.0,96400000
39398,Rajesh Joshi,1,14000000.0,14000000
39399,Neeraj Vora,2,14000000.0,28000000
39400,Aditya Narayan,1,14000000.0,14000000
39401,Saroj Khan,1,14000000.0,14000000
39402,Remo D'Souza,1,14000000.0,14000000
39403,Lindsay Wagner,1,19905359.0,19905359
39404,Walter Mathews,1,19905359.0,19905359
39405,E. Brian Dean,1,19905359.0,19905359
39406,Dmitri Prachenko,1,1227324.0,1227324
39407,Gregory Perrelli,1,1227324.0,1227324
39408,Joey Hannon,1,1227324.0,1227324
39409,Patrick McGaw,1,1227324.0,1227324
39410,Ram Bergman,2,530794018.5,1061588037
39411,Dubravko Jovanovi,1,5530764.0,5530764
39412,Esme Tyler,1,5530764.0,5530764
39413,Jovan Vitas,1,5530764.0,5530764
39414,Ana Sofrenovi,1,5530764.0,5530764
39415,Alek Rodic,1,5530764.0,5530764
39416,Josif Tati,1,5530764.0,5530764
39417,Slobodan usti,1,5530764.0,5530764
39418,Branka Puji,1,5530764.0,5530764
39419,George Bocchetti,1,5530764.0,5530764
39420,Elis Derham,1,5530764.0,5530764
39421,Marina Fos,1,14054361.0,14054361
39422,Maurice Barthlemy,1,14054361.0,14054361
39423,Jean-Paul Rouve,2,24077180.5,48154361
39424,Valrie Lemercier,2,15739680.5,31479361
39425,Otis Young,1,10000000.0,10000000
39426,Zayed Khan,1,3100000.0,3100000
39427,Nancy Lee Noble,1,2300000.0,2300000
39428,Michael Ashe,1,2300000.0,2300000
39429,Marciee Drake,1,2300000.0,2300000
39430,Betty Thomas,1,2300000.0,2300000
39431,Marcie Barkin,1,2300000.0,2300000
39432,Britt Leach,2,1227161.5,2454323
39433,John Lawlor,2,4763519.0,9527038
39434,Patrice Rohmer,1,2300000.0,2300000
39435,Shirley Jones,1,10400000.0,10400000
39436,Patti Page,1,10400000.0,10400000
39437,Joe Maross,1,10400000.0,10400000
39438,Wendell Holmes,1,10400000.0,10400000
39439,William Black,1,17436509.0,17436509
39440,Elijah Cummings,1,17436509.0,17436509
39441,Baron Hill,1,17436509.0,17436509
39442,Marcy Kaptur,1,17436509.0,17436509
39443,Elizabeth Warren,1,17436509.0,17436509
39444,Peter Zalewski,1,17436509.0,17436509
39445,Margaret Blye,2,8500000.0,17000000
39446,Michael McGuire,1,5000000.0,5000000
39447,Maurice Kowalewski,1,5000000.0,5000000
39448,Mark Rydell,2,15137703.5,30275407
39449,Lise Cutter,1,9243140.0,9243140
39450,Fred Asparagus,1,9243140.0,9243140
39451,Ren Monclova,1,9243140.0,9243140
39452,Ral Rosado,1,9243140.0,9243140
39453,Frances Tomelty,1,9366227.0,9366227
39454,Tom Burke,2,9851807.0,19703614
39455,Hubert Tellegen,1,9366227.0,9366227
39456,Alain Churin,1,9366227.0,9366227
39457,Bette Bourne,1,9366227.0,9366227
39458,Nichola McAuliffe,1,9366227.0,9366227
39459,Andrs Hmori,1,9366227.0,9366227
39460,Gaye Brown,1,9366227.0,9366227
39461,Natasha Cashman,2,28360707.0,56721414
39462,Georgina Cates,2,76341541.0,152683082
39463,Prunella Scales,1,851545.0,851545
39464,Nicola Pagett,1,851545.0,851545
39465,Edward Petherbridge,2,150110814.5,300221629
39466,Alan Cox,1,851545.0,851545
39467,Carol Drinkwater,1,851545.0,851545
39468,Patti Love,1,851545.0,851545
39469,Ben Lyon,1,8000000.0,8000000
39470,James Hall,1,8000000.0,8000000
39471,John Darrow,1,8000000.0,8000000
39472,Frank Clarke,1,8000000.0,8000000
39473,Roy Wilson,1,8000000.0,8000000
39474,Douglas Gilmore,1,8000000.0,8000000
39475,Jane Winton,1,8000000.0,8000000
39476,Faith Evans,1,30238577.0,30238577
39477,Nicky Buggs,1,30238577.0,30238577
39478,Daphne Duplaix Samuel,1,30238577.0,30238577
39479,Lourdes Benedicto,1,30238577.0,30238577
39480,Paresh Rawal,3,6083333.333,18250000
39481,Annu Kapoor,1,9250000.0,9250000
39482,Upasna Singh,1,9250000.0,9250000
39483,Dinesh Lamba,1,9250000.0,9250000
39484,David Janssen,1,11000000.0,11000000
39485,Jack Soo,1,11000000.0,11000000
39486,Jim Hutton,2,5507436.5,11014873
39487,Aldo Ray,1,11000000.0,11000000
39488,Irene Tsu,2,29000000.0,58000000
39489,Edward Faulkner,1,11000000.0,11000000
39490,Norma Shearer,2,1852218.0,3704436
39491,Rosalind Russell,1,2270000.0,2270000
39492,Mary Boland,1,2270000.0,2270000
39493,Phyllis Povah,1,2270000.0,2270000
39494,Virginia Weidler,1,2270000.0,2270000
39495,Lucile Watson,1,2270000.0,2270000
39496,Marjorie Main,1,2270000.0,2270000
39497,Ruth Hussey,1,2270000.0,2270000
39498,Muriel Hutchison,1,2270000.0,2270000
39499,Florence Nash,1,2270000.0,2270000
39500,Cora Witherspoon,1,2270000.0,2270000
39501,Ann Morriss,1,2270000.0,2270000
39502,Dennie Moore,1,2270000.0,2270000
39503,Mary Cecil,1,2270000.0,2270000
39504,Mary Beth Hughes,1,2270000.0,2270000
39505,Betty Blythe,2,2144500.0,4289000
39506,Lita Chevret,1,2270000.0,2270000
